S.Hemi Temperature Anomalies (deg C) AIRS v6 vs. 2007-2016
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
2011, -0.065, -0.125, -0.218,  0.036, -0.109,  0.028,  0.243,  0.151, -0.078, -0.165, -0.147, -0.217, -0.056, -0.047, -0.102, -0.097,  0.141, -0.130
2012, -0.221, -0.055, -0.093, -0.038,  0.032, -0.045, -0.204, -0.007, -0.099,  0.104, -0.001,  0.026, -0.050, -0.070, -0.164, -0.033, -0.086,  0.001
2013,  0.083,  0.024, -0.040,  0.008, -0.128,  0.144, -0.169,  0.005,  0.236, -0.016, -0.019,  0.044,  0.014,  0.013,  0.045, -0.053, -0.007,  0.067
2014, -0.001, -0.185, -0.065,  0.003,  0.144, -0.009, -0.071,  0.034,  0.201,  0.125,  0.061,  0.032,  0.023,  0.024, -0.047,  0.027, -0.015,  0.129
2015,  0.042,  0.154,  0.003, -0.156, -0.108, -0.101, -0.140, -0.044, -0.008,  0.175,  0.157,  0.291,  0.022,  0.001,  0.076, -0.087, -0.095,  0.108
2016,  0.205,  0.277,  0.191,  0.180,  0.132,  0.008,  0.213,  0.211,  0.053,  0.251,  0.294,  0.183,  0.183,  0.192,  0.258,  0.167,  0.144,  0.199
2017,  0.224,  0.267,  0.227,  0.066,  0.218, -0.005,  0.108,  0.017,  0.071,  0.142, -0.001, -0.010,  0.110,  0.127,  0.225,  0.170,  0.040,  0.071
2018,  0.112,  0.017,  0.067,  0.205,  0.021,  0.049, -0.003, -0.040, -0.064,  0.021,  0.037,  0.213,  0.053,  0.034,  0.040,  0.098,  0.002, -0.002
2019,  0.235,  0.341,  0.272,  0.190,  0.051,  0.072,  0.193,  0.149,  0.075,  0.249,  0.300,  0.348,  0.206,  0.195,  0.263,  0.171,  0.138,  0.208
2020,  0.249,  0.126,  0.050,  0.225,  0.110,  0.163,  0.148, -0.066,  0.174,  0.002,  0.159, -0.141,  0.100,  0.141,  0.241,  0.128,  0.082,  0.112
2021, -0.104, -0.141, -0.060, -0.060, -0.069, -0.097,  0.148,  0.079,  0.182,  0.037, -0.001,  0.247,  0.013, -0.019, -0.128, -0.063,  0.043,  0.073
2022,  0.247,  0.257,  0.271,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,  0.251,*******,*******,*******
S.Hemi Temperature Anomalies (deg C) GHCNv4/ERSSTv5 vs. 2007-2016
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
2002,  0.010, -0.055,  0.121,  0.166,  0.177, -0.134,  0.017, -0.101,  0.023, -0.035, -0.164, -0.058, -0.003, -0.002, -0.032,  0.155, -0.072, -0.059
2003,  0.063,  0.123,  0.002,  0.001, -0.087, -0.102, -0.062, -0.180, -0.152, -0.112, -0.155, -0.002, -0.055, -0.060,  0.043, -0.028, -0.114, -0.139
2004, -0.013,  0.046, -0.123,  0.028, -0.351, -0.103, -0.511, -0.244, -0.208, -0.071, -0.088,  0.054, -0.132, -0.137,  0.010, -0.148, -0.286, -0.122
2005,  0.036,  0.003,  0.016, -0.065, -0.105, -0.014, -0.060, -0.097, -0.092, -0.027, -0.148,  0.008, -0.045, -0.042,  0.031, -0.051, -0.057, -0.089
2006, -0.043,  0.022, -0.046, -0.127, -0.365, -0.009, -0.154,  0.110, -0.139, -0.147, -0.027, -0.094, -0.085, -0.076, -0.004, -0.179, -0.017, -0.105
2007,  0.067,  0.021, -0.028, -0.040,  0.073,  0.064, -0.000, -0.154, -0.090, -0.241, -0.205, -0.296, -0.069, -0.052, -0.002,  0.002, -0.030, -0.178
2008, -0.245, -0.314, -0.180, -0.071, -0.208, -0.138,  0.055, -0.271,  0.033, -0.101, -0.145, -0.090, -0.140, -0.157, -0.285, -0.153, -0.118, -0.071
2009, -0.048, -0.124, -0.039,  0.024,  0.054,  0.108,  0.253,  0.025, -0.020, -0.074,  0.188,  0.174,  0.043,  0.021, -0.087,  0.013,  0.129,  0.031
2010,  0.180,  0.254,  0.221,  0.077, -0.017, -0.011, -0.174, -0.146, -0.061, -0.069, -0.138, -0.119, -0.000,  0.024,  0.202,  0.094, -0.110, -0.089
2011, -0.093, -0.086, -0.102, -0.040, -0.180, -0.026,  0.137,  0.169, -0.221, -0.174, -0.051, -0.199, -0.072, -0.066, -0.099, -0.108,  0.093, -0.149
2012, -0.215, -0.084, -0.082, -0.113,  0.013, -0.157, -0.224, -0.078, -0.041,  0.096,  0.039,  0.095, -0.063, -0.087, -0.166, -0.061, -0.153,  0.031
2013,  0.049, -0.017,  0.015, -0.095, -0.147,  0.101, -0.031,  0.045,  0.226, -0.023, -0.006,  0.041,  0.013,  0.018,  0.042, -0.076,  0.038,  0.066
2014,  0.024, -0.097, -0.158,  0.019,  0.234,  0.019, -0.142,  0.130,  0.299,  0.105, -0.028, -0.049,  0.030,  0.037, -0.011,  0.032,  0.002,  0.125
2015,  0.004,  0.136,  0.064, -0.004, -0.025,  0.067,  0.009, -0.024, -0.092,  0.320,  0.186,  0.271,  0.076,  0.049,  0.030,  0.012,  0.017,  0.138
2016,  0.276,  0.312,  0.289,  0.244,  0.203, -0.026,  0.117,  0.303, -0.034,  0.161,  0.160,  0.172,  0.181,  0.190,  0.286,  0.245,  0.131,  0.096
2017,  0.138,  0.273,  0.284,  0.197,  0.307, -0.000,  0.129,  0.110, -0.083,  0.171, -0.017, -0.042,  0.122,  0.140,  0.194,  0.263,  0.080,  0.024
2018, -0.036, -0.034,  0.080,  0.307,  0.053,  0.183,  0.218,  0.053,  0.021,  0.214,  0.123,  0.221,  0.117,  0.095, -0.037,  0.147,  0.151,  0.119
2019,  0.145,  0.290,  0.268,  0.281,  0.122,  0.116,  0.319,  0.186,  0.019,  0.136,  0.230,  0.265,  0.198,  0.194,  0.219,  0.224,  0.207,  0.128
2020,  0.225,  0.292,  0.153,  0.367,  0.174,  0.205,  0.166,  0.002,  0.161, -0.022,  0.046, -0.121,  0.137,  0.169,  0.261,  0.231,  0.124,  0.062
2021, -0.155, -0.156,  0.048, -0.110, -0.052, -0.023,  0.242, -0.008,  0.175,  0.103,  0.003,  0.050,  0.010, -0.004, -0.144, -0.038,  0.070,  0.094
2022,  0.048,  0.120,  0.147,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,  0.073,*******,*******,*******
